feature,importance
satisfaction_level,0.301107
last_evaluation,0.125924
number_project,0.179201
average_monthly_hours,0.155114
time_spend_company,0.189781
work_accident,0.008876
promotion_last_5years,0.001536
Departments_accounting,0.001949
Departments_support,0.002904
Departments_technical,0.003675
Departments_sales,0.003528
Departments_RandD,0.001868
Departments_IT,0.001689
Departments_hr,0.001835
Departments_product_mng,0.001482
Departments_management,0.00153
salary_medium,0.00397
salary_low,0.006932
salary_high,0.005745
